poly_degree,n_rows,keygen_ms,pt_ms,enc_ms,sum_ms,total_he_ms,overhead_x,true_avg,he_avg,avg_err,true_sum,he_sum,sum_err
8192,10,88.29795800000184,0.021694333331841637,1.813346666667807,4.080472333332826,5.893819000000633,271.67550667943505,4.859999999999999,4.860000097056154,9.705615422461733e-08,48.599999999999994,48.60000097056154,9.705615440225301e-07
8192,25,88.29795800000184,0.005916666667123612,1.6559443333340103,4.848541666666743,6.504486000000753,1099.3497463940976,5.028,5.02800001841992,1.841992069984144e-08,125.69999999999999,125.700000460498,4.6049801483150077e-07
8192,50,88.29795800000184,0.005958000000324167,1.730236333333579,5.76433333333289,7.494569666666469,1257.900246099144,5.006,5.006000014817457,1.4817456595039857e-08,250.3,250.30000074087286,7.408728492919181e-07
8192,75,88.29795800000184,0.005041333333603386,1.7381110000004678,6.641833333334309,8.379944333334777,1662.2476195885777,5.341333333333334,5.3413333507869645,1.745363054084237e-08,400.6,400.60000130902233,1.3090223092149245e-06
8192,100,88.29795800000184,0.004681000000061886,1.7442356666658536,6.631361000000169,8.375596666666022,1789.2750836477871,5.471000000000001,5.471000012629702,1.2629700840705027e-08,547.1000000000001,547.1000012629702,1.2629700449906522e-06
8192,150,88.29795800000184,0.004722666666623354,1.7508336666658408,7.546944999999046,9.297778666664886,1968.7560700346185,5.843333333333334,5.843333344268277,1.0934943617257886e-08,876.5,876.5000016402416,1.6402416349592386e-06
16384,10,228.32654099999772,0.01327800000083812,4.307764000001176,12.934388999999177,17.242153000000354,1298.550459324598,4.859999999999999,4.859999739539722,2.604602773459419e-07,48.599999999999994,48.59999739539722,2.6046027770121327e-06
16384,25,228.32654099999772,0.005458333333763221,4.168305333333677,15.461832999999814,19.63013833333349,3596.3612210908323,5.028,5.02799993780072,6.219927950468218e-08,125.69999999999999,125.699998445018,1.5549819920579466e-06
16384,50,228.32654099999772,0.007694666666206255,4.163542000000575,18.24844466666775,22.411986666668327,2912.665049559351,5.006,5.006000010794712,1.0794711791106693e-08,250.3,250.3000005397356,5.397355948844051e-07
16384,75,228.32654099999772,0.006763999999511346,4.187819666667518,21.15976400000008,25.3475836666676,3747.425143184328,5.341333333333334,5.3413333100637725,2.3269561388872262e-08,400.6,400.5999982547829,1.745217105053598e-06
16384,100,228.32654099999772,0.006125333333291867,4.1534723333332595,20.97301400000025,25.12648633333351,4102.060241647302,5.471000000000001,5.470999982441292,1.755870915332025e-08,547.1000000000001,547.0999982441292,1.7558709259901661e-06
16384,150,228.32654099999772,0.005625000000009095,4.278513999999234,23.859291666666376,28.13780566666561,5002.276562954687,5.843333333333334,5.843333320903824,1.2429509865796717e-08,876.5,876.4999981355736,1.8644263946043793e-06
